"workPid","dataPid","isPartOf","hasPart","relatedTo","xml:sortorder","copyrightStatus","lukasPhotoId","vkcId"
"http://mskgent.be/collection/work/id/1908-H","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1908-H",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20198000,100000034
"http://mskgent.be/collection/work/id/1914-CL","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1914-CL",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20241001,100000035
"http://mskgent.be/collection/work/id/1904-D","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1904-D",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20022001,100000036
"http://mskgent.be/collection/work/id/1914-IN","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1914-IN",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20578001,100000037
"http://mskgent.be/collection/work/id/1881-B","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1881-B",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20010000,100000038
"http://mskgent.be/collection/work/id/S-54","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:S-54",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20269000,100000039
"http://mskgent.be/collection/work/id/1903-L","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1903-L",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20554000,100000040
"http://mskgent.be/collection/work/id/1903-L","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1903-L",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20554003,100000041
"http://mskgent.be/collection/work/id/1903-L","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1903-L",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20554001,100000042
"http://mskgent.be/collection/work/id/1903-L","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1903-L",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20554002,100000043
"http://mskgent.be/collection/work/id/1914-CB","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1914-CB",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20045000,100000044
"http://kmska.be/collection/work/id/957","oai:datahub.vlaamsekunstcollectie.be:kmska.be:957",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",31448001,100000045
"http://mskgent.be/collection/work/id/1896-A","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1896-A",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20114000,100000046
"http://kunstenenerfgoed.be/CVG/collection/work/id/6698","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1952-E",,,,,"https://creativecommons.org/publicdomain/zero/1.0/",20072000,100000047
