"Work PID","nl","en"
"http://kmska.be/collection/work/id/2658","De schilder Jean Auguste Dominique Ingres",
"http://kmska.be/collection/work/id/2351","Monseigneur Gerasimos Messara, metropoliet van Beiroet",
"http://kmska.be/collection/work/id/2152","Harmonicaspeler",
"http://collectievlaamsegemeenschap.be/collection/work/id/2251",,
"http://groeningemuseum.be/collection/work/id/1997_GRO0018_I","Portret van Laurent Van de Velde",
"http://groeningemuseum.be/collection/work/id/1996_GRO0032_XXXI","Des écliptiques, un soleil de notre galaxie avec deux de ses planètes (Zonnebanen, een zon van onze melkweg met twee van haar planeten)",
"http://groeningemuseum.be/collection/work/id/0000_GRO0010_II","De schoonmaakster","The Charwoman"
"http://groeningemuseum.be/collection/work/id/0000_GRO1281_I","Havendam van Zeebrugge","Dam in the Harbour of Zeebrugge"
"http://groeningemuseum.be/collection/work/id/1989_GRO0038_I","Triptiek","Triptych"
"http://groeningemuseum.be/collection/work/id/0000_GRO1232_II-1233_II","Secret-Reflet (Geheim-Weerspiegeling)",
"http://groeningemuseum.be/collection/work/id/0000_GRO0796_I","Kruisafneming","Descent from the Cross"
"http://groeningemuseum.be/collection/work/id/1984_GRO0056_XXXI","Musée - Museum",
"http://groeningemuseum.be/collection/work/id/1992_GRO0031_I","Bewening","Lamentation"
"http://groeningemuseum.be/collection/work/id/1976_GRO0815_I","Portret van Otho Stochoven",
"http://groeningemuseum.be/collection/work/id/1979_GRO0006_Ib","Portret van aartshertogin Isabella","Portrait of the Archduchess Isabella"
"http://groeningemuseum.be/collection/work/id/0000_GRO0191_I","Schipbreuk","Shipwreck"
"http://groeningemuseum.be/collection/work/id/0000_GRO0197_I","Vrouw met spiegel","Woman with a Mirror"
"http://groeningemuseum.be/collection/work/id/1983_GRO0019_I-0020_I","Annunciatie en de aanbidding van het Jezuskind","Annunciation and the Adoration of the Chris-Child"
"http://groeningemuseum.be/collection/work/id/1983_GRO0019_I","Annunciatie","Annunciation"
"http://groeningemuseum.be/collection/work/id/1983_GRO0020_I","Aanbidding van het Jezuskind","Adoration of the Christ-Child"
